#{"t_start": 1780877043.7068098, "env_id": "None"}
r,l,t
4717.0,201,171.04606
4495.5,201,171.711956
3854.5,201,172.396819
3743.5,201,173.040703
4138.0,201,173.744287
4466.0,201,174.434618
3283.0,201,175.192461
3273.0,201,175.886338
5035.0,201,176.598094
5304.0,201,177.26586
5389.5,201,177.938372
2740.0,201,178.625009
5430.0,201,179.349913
3881.0,201,180.022464
5433.0,201,180.739538
4621.5,201,181.479492
4984.5,201,182.203224
6300.5,201,182.9496
4436.5,201,183.669682
5815.0,201,184.357189
4669.5,201,185.050594
3872.5,201,185.741855
5633.0,201,186.416338
5639.0,201,187.07112
3004.0,201,187.746435
5620.0,201,188.476925
4529.5,201,189.186632
5532.0,201,189.933779
4660.0,201,190.665117
3790.0,201,191.307371
2668.0,201,192.048331
4614.0,201,192.73405
4060.5,201,193.409547
5423.5,201,194.119866
3794.5,201,194.837973
4514.0,201,195.508528
3953.0,201,196.264422
5906.0,201,196.960401
6929.0,201,197.64847
5828.0,201,198.27622
4556.5,201,199.020504
7034.0,201,199.741422
4116.0,201,200.377803
5153.0,142,200.836362
4401.5,201,201.484429
2855.0,201,202.206459
5183.0,179,202.846827
4071.5,160,203.421041
4104.5,196,204.168262
5382.0,146,204.663922
2305.0,201,205.361999
4345.5,201,206.029192
5648.0,161,206.581247
3543.0,197,207.233232
3995.0,201,207.957456
4641.5,192,208.64233
5814.5,161,209.295843
5308.0,172,209.930083
4592.5,183,210.620628
3366.0,201,211.308271
5217.0,161,211.868059
4981.0,201,212.546355
5144.0,201,213.205249
4884.0,195,213.841312
5359.0,167,214.384037
4751.5,186,215.001927
2418.5,201,215.772937
4812.0,193,216.461678
4117.0,201,217.151339
3563.5,201,217.861506
4708.5,201,218.530514
4073.5,201,219.165071
4311.5,201,219.817977
3676.0,201,220.529104
4839.0,185,221.165269
4953.5,175,221.733094
5080.5,167,222.298506
4263.5,178,222.921016
5493.0,164,223.476439
4572.5,171,224.063276
4957.5,177,224.715895
5601.0,150,225.2273
4513.0,187,225.907608
4688.5,163,226.435876
